1984/1984-11|Protein-tyrosine phosphatase LC-PTP|CHEMBL2219|1.00
2000/2000-531|Ribosomal protein S6 kinase alpha 5|CHEMBL4237|1.00
2000/2000-532|Ribosomal protein S6 kinase alpha 5|CHEMBL4237|1.00
2000/2000-533|Phospholipase A2 group IIA|CHEMBL3474|1.00
2000/2000-534|Phospholipase A2 group 1B|CHEMBL4426|1.00
2000/2000-535|Phospholipase A2 group 1B|CHEMBL4426|1.00
2000/2000-538|Phospholipase A2 group 1B|CHEMBL4426|1.00
2000/2000-539|Phospholipase A2 group 1B|CHEMBL4426|1.00
2000/2000-540|Phospholipase A2 group 1B|CHEMBL4426|1.00
2000/2000-541|Phospholipase A2 group 1B|CHEMBL4426|1.00
2000/2000-563|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2000/2000-564|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2000/2000-567|Dual specificity phosphatase Cdc25A|CHEMBL3775|1.00
2000/2000-572|DNA polymerase kappa|CHEMBL5365|1.00
2000/2000-572|Phospholipase A2 group 1B|CHEMBL4426|1.00
2000/2000-572|Phospholipase A2 group IIA|CHEMBL3474|1.00
2000/2000-573|DNA polymerase kappa|CHEMBL5365|1.00
2000/2000-573|Phospholipase A2 group 1B|CHEMBL4426|1.00
2000/2000-573|Phospholipase A2 group IIA|CHEMBL3474|1.00
2000/2000-574|DNA polymerase kappa|CHEMBL5365|1.00
2000/2000-574|Phospholipase A2 group 1B|CHEMBL4426|1.00
2000/2000-574|Phospholipase A2 group IIA|CHEMBL3474|1.00
2000/2000-575|DNA polymerase kappa|CHEMBL5365|1.00
2000/2000-575|Phospholipase A2 group 1B|CHEMBL4426|1.00
2000/2000-575|Phospholipase A2 group IIA|CHEMBL3474|1.00
2000/2000-590|Squalene monooxygenase|CHEMBL3592|1.00
2000/2000-712|LXR-alpha|CHEMBL2808|1.00
2000/2000-712|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2000/2000-717|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2000/2000-717|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2000/2000-717|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2000/2000-717|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2000/2000-718|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2000/2000-718|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2000/2000-718|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2000/2000-718|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2000/2000-719|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2000/2000-719|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2000/2000-719|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2000/2000-719|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2000/2000-720|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2000/2000-720|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2000/2000-720|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2000/2000-720|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2000/2000-721|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2000/2000-721|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2000/2000-721|Focal adhesion kinase 1|CHEMBL2695|1.00
2000/2000-721|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2000/2000-721|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2000/2000-722|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2000/2000-722|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2000/2000-722|Focal adhesion kinase 1|CHEMBL2695|1.00
2000/2000-722|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2000/2000-722|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2000/2000-86|Tubulin|CHEMBL2095182|1.00
2000/2000-87|Tubulin|CHEMBL2095182|1.00
2000/2000-902|G-protein coupled bile acid receptor 1|CHEMBL5409|1.00
2000/2000-902|Phospholipase A2 group 1B|CHEMBL4426|1.00
2000/2000-902|Ileal bile acid transporter|CHEMBL2778|1.00
2000/2000-902|Bile acid receptor FXR|CHEMBL2047|1.00
2000/2000-902|Bile acid transporter|CHEMBL5287|1.00
2000/2000-96|Tubulin|CHEMBL2095182|1.00
2001/2001-140|LXR-alpha|CHEMBL2808|1.00
2001/2001-140|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2001/2001-140|P-glycoprotein 1|CHEMBL4302|1.00
2001/2001-161|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
2001/2001-162|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
2001/2001-163|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
2001/2001-164|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
2001/2001-167|Carbonic anhydrase IV|CHEMBL3729|1.00
2001/2001-167|Carbonic anhydrase VI|CHEMBL3025|1.00
2001/2001-167|Carbonic anhydrase I|CHEMBL261|1.00
2001/2001-167|Carbonic anhydrase II|CHEMBL205|1.00
2001/2001-252|Terminal deoxynucleotidyltransferase|CHEMBL4810|1.00
2001/2001-252|DNA polymerase beta|CHEMBL2392|1.00
2001/2001-252|DNA polymerase alpha subunit|CHEMBL1828|1.00
2001/2001-253|DNA polymerase beta|CHEMBL2392|1.00
2001/2001-253|DNA polymerase alpha subunit|CHEMBL1828|1.00
2001/2001-254|DNA polymerase beta|CHEMBL2392|1.00
2001/2001-254|DNA polymerase alpha subunit|CHEMBL1828|1.00
2001/2001-255|DNA polymerase alpha subunit|CHEMBL1828|1.00
2001/2001-260|Cytochrome P450 3A4|CHEMBL340|1.00
2001/2001-281|Tubulin|CHEMBL2095182|1.00
2001/2001-386|UDP-glucose 4-epimerase|CHEMBL5843|1.00
2001/2001-386|Histone deacetylase 1|CHEMBL325|1.00
2001/2001-386|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
2001/2001-386|Histone deacetylase|CHEMBL2093865|1.00
2001/2001-386|DNA (cytosine-5)-methyltransferase 1|CHEMBL1993|1.00
2001/2001-386|Histone deacetylase 6|CHEMBL1865|1.00
2001/2001-393|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
2001/2001-393|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2001/2001-395|Serine/threonine-protein kinase NEK6|CHEMBL4309|1.00
2001/2001-395|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2001/2001-395|Hepatocyte growth factor receptor|CHEMBL3717|1.00
2001/2001-395|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2001/2001-395|Focal adhesion kinase 1|CHEMBL2695|1.00
2001/2001-395|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2001/2001-395|Serine/threonine-protein kinase Aurora-B|CHEMBL2185|1.00
2001/2001-395|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2001/2001-396|Serine/threonine-protein kinase NEK6|CHEMBL4309|1.00
2001/2001-396|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2001/2001-396|Hepatocyte growth factor receptor|CHEMBL3717|1.00
2001/2001-396|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2001/2001-396|Focal adhesion kinase 1|CHEMBL2695|1.00
2001/2001-396|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2001/2001-396|Serine/threonine-protein kinase Aurora-B|CHEMBL2185|1.00
2001/2001-397|Serine/threonine-protein kinase NEK6|CHEMBL4309|1.00
2001/2001-397|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2001/2001-397|Hepatocyte growth factor receptor|CHEMBL3717|1.00
2001/2001-397|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2001/2001-397|Focal adhesion kinase 1|CHEMBL2695|1.00
2001/2001-397|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2001/2001-397|Serine/threonine-protein kinase Aurora-B|CHEMBL2185|1.00
2001/2001-398|Serine/threonine-protein kinase NEK6|CHEMBL4309|1.00
2001/2001-398|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2001/2001-398|Hepatocyte growth factor receptor|CHEMBL3717|1.00
2001/2001-398|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2001/2001-398|Focal adhesion kinase 1|CHEMBL2695|1.00
2001/2001-398|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2001/2001-398|Serine/threonine-protein kinase Aurora-B|CHEMBL2185|1.00
2001/2001-398|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2001/2001-406|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2001/2001-407|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2001/2001-455|DNA polymerase kappa|CHEMBL5365|1.00
2001/2001-455|Phospholipase A2 group 1B|CHEMBL4426|1.00
2001/2001-455|Phospholipase A2 group IIA|CHEMBL3474|1.00
2001/2001-456|DNA polymerase kappa|CHEMBL5365|1.00
2001/2001-456|Phospholipase A2 group 1B|CHEMBL4426|1.00
2001/2001-456|Phospholipase A2 group IIA|CHEMBL3474|1.00
2001/2001-457|Phospholipase A2 group IIA|CHEMBL3474|1.00
2001/2001-467|Phospholipase A2 group 1B|CHEMBL4426|1.00
2001/2001-468|Phospholipase A2 group 1B|CHEMBL4426|1.00
2001/2001-469|Phospholipase A2 group 1B|CHEMBL4426|1.00
2001/2001-470|Phospholipase A2 group 1B|CHEMBL4426|1.00
2001/2001-491|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2001/2001-491|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2001/2001-492|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2001/2001-492|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2001/2001-493|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2001/2001-493|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2001/2001-493|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2001/2001-508|Interleukin-8 receptor A|CHEMBL4029|1.00
2001/2001-510|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2001/2001-510|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2001/2001-682|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2001/2001-825|Tyrosine-protein kinase SRC|CHEMBL267|1.00
20012/1986-123|Beta-secretase 1|CHEMBL4822|1.00
20012/1986-124|Beta-secretase 1|CHEMBL4822|1.00
20012/1986-235|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
20012/1986-236|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
20012/1986-24|Protein kinase C theta|CHEMBL3920|1.00
20012/1986-24|Protein kinase C eta|CHEMBL3616|1.00
20012/1986-24|Protein kinase C epsilon|CHEMBL3582|1.00
20012/1986-24|Protein kinase C beta|CHEMBL3045|1.00
20012/1986-24|Protein kinase C delta|CHEMBL2996|1.00
20012/1986-24|Protein kinase C alpha|CHEMBL299|1.00
20012/1986-24|Protein kinase C gamma|CHEMBL2938|1.00
20012/1986-255|Protein farnesyltransferase|CHEMBL2094108|1.00
20012/1986-255|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
20012/1986-256|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
20012/1986-256|Protein farnesyltransferase|CHEMBL2094108|1.00
20012/1986-258|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
20012/1986-258|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
20012/1986-259|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
20012/1986-259|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
20012/1986-25|Protein kinase C theta|CHEMBL3920|1.00
20012/1986-25|Protein kinase C eta|CHEMBL3616|1.00
20012/1986-25|Protein kinase C epsilon|CHEMBL3582|1.00
20012/1986-25|Protein kinase C beta|CHEMBL3045|1.00
20012/1986-25|Protein kinase C delta|CHEMBL2996|1.00
20012/1986-25|Protein kinase C alpha|CHEMBL299|1.00
20012/1986-25|Protein kinase C gamma|CHEMBL2938|1.00
20012/1986-260|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
20012/1986-260|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
20012/1986-316|Nuclear factor NF-kappa-B complex|CHEMBL2094258|1.00
20012/1986-316|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
20012/1986-317|Phospholipase A2 group IIA|CHEMBL3474|1.00
20012/1986-320A|DNA polymerase kappa|CHEMBL5365|1.00
20012/1986-320A|Phospholipase A2 group 1B|CHEMBL4426|1.00
20012/1986-320A|Phospholipase A2 group IIA|CHEMBL3474|1.00
20012/1986-320B|DNA polymerase kappa|CHEMBL5365|1.00
20012/1986-320B|Phospholipase A2 group 1B|CHEMBL4426|1.00
20012/1986-320B|Phospholipase A2 group IIA|CHEMBL3474|1.00
20012/1986-361A|Geranylgeranyl transferase type I|CHEMBL2095164|1.00
20012/1986-361A|Protein farnesyltransferase|CHEMBL2094108|1.00
20012/1986-375A|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
20012/1986-375B|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
20012/1986-409|Solute carrier organic anion transporter family member 1B3|CHEMBL1743121|1.00
20012/1986-409|Solute carrier organic anion transporter family member 1B1|CHEMBL1697668|1.00
20012/1986-409|3-beta-hydroxysteroid-delta(8),delta(7)-isomerase|CHEMBL4931|1.00
20012/1986-409|Sigma opioid receptor|CHEMBL287|1.00
20012/1986-411|Aldo-keto reductase family 1 member B10|CHEMBL5983|1.00
20012/1986-411|11-beta-hydroxysteroid dehydrogenase 1|CHEMBL4235|1.00
20012/1986-411|Protein-tyrosine phosphatase 2C|CHEMBL3864|1.00
20012/1986-411|11-beta-hydroxysteroid dehydrogenase 2|CHEMBL3746|1.00
20012/1986-411|Protein kinase C eta|CHEMBL3616|1.00
20012/1986-411|Solute carrier organic anion transporter family member 1B3|CHEMBL1743121|1.00
20012/1986-411|Solute carrier organic anion transporter family member 1B1|CHEMBL1697668|1.00
20012/1986-411|Acyl coenzyme A|CHEMBL2265|1.00
20012/1986-411|Carboxylesterase 2|CHEMBL3180|1.00
20012/1986-411|Estradiol 17-beta-dehydrogenase 2|CHEMBL2789|1.00
20012/1986-412|11-beta-hydroxysteroid dehydrogenase 1|CHEMBL4235|1.00
20012/1986-412|11-beta-hydroxysteroid dehydrogenase 2|CHEMBL3746|1.00
20012/1986-412|Estradiol 17-beta-dehydrogenase 2|CHEMBL2789|1.00
20012/1986-412|Carboxylesterase 2|CHEMBL3180|1.00
20012/1986-412|Aldo-keto reductase family 1 member B10|CHEMBL5983|1.00
20012/1986-412|Protein-tyrosine phosphatase 2C|CHEMBL3864|1.00
20012/1986-412|Protein kinase C eta|CHEMBL3616|1.00
20012/1986-412|Solute carrier organic anion transporter family member 1B3|CHEMBL1743121|1.00
20012/1986-412|Solute carrier organic anion transporter family member 1B1|CHEMBL1697668|1.00
20012/1986-413|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
20012/1986-413|11-beta-hydroxysteroid dehydrogenase 1|CHEMBL4235|1.00
20012/1986-413|11-beta-hydroxysteroid dehydrogenase 2|CHEMBL3746|1.00
20012/1986-413|Estradiol 17-beta-dehydrogenase 2|CHEMBL2789|1.00
20012/1986-413|Carboxylesterase 2|CHEMBL3180|1.00
20012/1986-416|Indoleamine 2,3-dioxygenase|CHEMBL4685|1.00
20012/1986-438|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2002/2002-122|P-selectin|CHEMBL5378|1.00
2002/2002-122|Vascular endothelial growth factor A|CHEMBL1783|1.00
2002/2002-138|Monoamine oxidase B|CHEMBL2039|1.00
2002/2002-138|Monoamine oxidase A|CHEMBL1951|1.00
2002/2002-21|Vacuolar ATP synthase subunit S1|CHEMBL4790|1.00
2002/2002-225|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2002/2002-226|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2002/2002-228|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2002/2002-229|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2002/2002-230|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2002/2002-231|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2002/2002-233|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2002/2002-234|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2002/2002-237|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2002/2002-290|Methionine aminopeptidase 1|CHEMBL2474|1.00
2002/2002-291|Methionine aminopeptidase 1|CHEMBL2474|1.00
2002/2002-292|Methionine aminopeptidase 1|CHEMBL2474|1.00
2002/2002-315|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
2002/2002-315|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2002/2002-387|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2002/2002-391|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2002/2002-392|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2002/2002-401|Serine/threonine-protein kinase NEK6|CHEMBL4309|1.00
2002/2002-401|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2002/2002-401|Hepatocyte growth factor receptor|CHEMBL3717|1.00
2002/2002-401|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2002/2002-401|Focal adhesion kinase 1|CHEMBL2695|1.00
2002/2002-401|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2002/2002-401|Serine/threonine-protein kinase Aurora-B|CHEMBL2185|1.00
2002/2002-403|MAP kinase-activated protein kinase 2|CHEMBL2208|1.00
2002/2002-406|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2002/2002-406|Sodium/potassium-transporting ATPase|CHEMBL2095186|1.00
2002/2002-439|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
2002/2002-439|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
2002/2002-440|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
2002/2002-440|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
2002/2002-442|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
2002/2002-450|Ribosomal protein S6 kinase alpha 5|CHEMBL4237|1.00
2002/2002-451|Ribosomal protein S6 kinase alpha 5|CHEMBL4237|1.00
2002/2002-452|Ribosomal protein S6 kinase alpha 5|CHEMBL4237|1.00
2002/2002-462|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2002/2002-462|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2002/2002-464|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2002/2002-464|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2002/2002-542|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2002/2002-542|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2002/2002-542|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2002/2002-542|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2002/2002-574|LXR-alpha|CHEMBL2808|1.00
2002/2002-576|LXR-alpha|CHEMBL2808|1.00
2002/2002-577|LXR-alpha|CHEMBL2808|1.00
2002/2002-728|Fatty acid-binding protein, liver|CHEMBL5421|1.00
2002/2002-728|Peroxisome proliferator-activated receptor delta|CHEMBL3979|1.00
2002/2002-728|Fatty acid binding protein epidermal|CHEMBL3674|1.00
2002/2002-728|Telomerase reverse transcriptase|CHEMBL2916|1.00
2002/2002-728|Peroxisome proliferator-activated receptor alpha|CHEMBL239|1.00
2002/2002-728|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
2002/2002-728|Anandamide amidohydrolase|CHEMBL2243|1.00
2002/2002-728|Fatty acid binding protein adipocyte|CHEMBL2083|1.00
2002/2002-729|Fatty acid-binding protein, liver|CHEMBL5421|1.00
2002/2002-729|Peroxisome proliferator-activated receptor delta|CHEMBL3979|1.00
2002/2002-729|Fatty acid binding protein epidermal|CHEMBL3674|1.00
2002/2002-729|Telomerase reverse transcriptase|CHEMBL2916|1.00
2002/2002-729|Peroxisome proliferator-activated receptor alpha|CHEMBL239|1.00
2002/2002-729|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
2002/2002-729|Anandamide amidohydrolase|CHEMBL2243|1.00
2002/2002-729|Fatty acid binding protein adipocyte|CHEMBL2083|1.00
2002/2002-730|Carbonic anhydrase IX|CHEMBL3594|1.00
2002/2002-730|Carbonic anhydrase II|CHEMBL205|1.00
2002/2002-731|Carbonic anhydrase IX|CHEMBL3594|1.00
2002/2002-731|Carbonic anhydrase II|CHEMBL205|1.00
2002/2002-803|DNA topoisomerase I|CHEMBL1781|1.00
2002/2002-803|G-protein coupled receptor 120|CHEMBL5339|1.00
2002/2002-803|Free fatty acid receptor 1|CHEMBL4422|1.00
2002/2002-803|Peroxisome proliferator-activated receptor delta|CHEMBL3979|1.00
2002/2002-803|Fatty acid binding protein muscle|CHEMBL3344|1.00
2002/2002-803|Peroxisome proliferator-activated receptor alpha|CHEMBL239|1.00
2002/2002-803|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
2002/2002-803|Fatty acid binding protein adipocyte|CHEMBL2083|1.00
2002/2002-87|Tubulin|CHEMBL2095182|1.00
2003/2003-140|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2003/2003-142|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2003/2003-15|Histone deacetylase 1|CHEMBL325|1.00
2003/2003-15|Histone deacetylase|CHEMBL2093865|1.00
2003/2003-15|Histone deacetylase 2|CHEMBL1937|1.00
2003/2003-15|Histone deacetylase 3|CHEMBL1829|1.00
2003/2003-15|Histone deacetylase 4|CHEMBL3524|1.00
2003/2003-259|Coagulation factor VII|CHEMBL3991|1.00
2003/2003-259|Thrombin|CHEMBL204|1.00
2003/2003-289|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2003/2003-28|Leukocyte elastase|CHEMBL248|1.00
2003/2003-28|Protein-tyrosine phosphatase 4A3|CHEMBL4162|1.00
2003/2003-28|Casein kinase II alpha|CHEMBL3629|1.00
2003/2003-28|Casein kinase II alpha/beta|CHEMBL3038477|1.00
2003/2003-28|Estrogen receptor beta|CHEMBL242|1.00
2003/2003-28|Serine/threonine-protein kinase PIM1|CHEMBL2147|1.00
2003/2003-28|Casein kinase II|CHEMBL2095191|1.00
2003/2003-28|Estrogen receptor alpha|CHEMBL206|1.00
2003/2003-28|Aldose reductase|CHEMBL1900|1.00
2003/2003-345|UDP-glucose 4-epimerase|CHEMBL5843|1.00
2003/2003-345|Histone deacetylase 1|CHEMBL325|1.00
2003/2003-345|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
2003/2003-345|Histone deacetylase|CHEMBL2093865|1.00
2003/2003-345|DNA (cytosine-5)-methyltransferase 1|CHEMBL1993|1.00
2003/2003-345|Histone deacetylase 6|CHEMBL1865|1.00
2003/2003-36|Calmodulin|CHEMBL6093|1.00
2003/2003-408|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
2003/2003-408|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
2003/2003-415|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
2003/2003-415|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
2003/2003-416|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
2003/2003-416|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
2003/2003-41|Mitogen-activated protein kinase kinase kinase 7|CHEMBL5776|1.00
2003/2003-42|Mitogen-activated protein kinase kinase kinase 7|CHEMBL5776|1.00
2003/2003-430|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2003/2003-44|Tyrosine-protein kinase receptor UFO|CHEMBL4895|1.00
2003/2003-44|MAP kinase signal-integrating kinase 2|CHEMBL4204|1.00
2003/2003-44|Cyclin-dependent kinase 5|CHEMBL4036|1.00
2003/2003-44|Serine/threonine-protein kinase PLK4|CHEMBL3788|1.00
2003/2003-44|Cyclin-dependent kinase 1|CHEMBL308|1.00
2003/2003-44|Tyrosine-protein kinase receptor FLT3|CHEMBL1974|1.00
2003/2003-45|Tyrosine-protein kinase receptor UFO|CHEMBL4895|1.00
2003/2003-45|MAP kinase signal-integrating kinase 2|CHEMBL4204|1.00
2003/2003-45|Cyclin-dependent kinase 5|CHEMBL4036|1.00
2003/2003-45|Serine/threonine-protein kinase PLK4|CHEMBL3788|1.00
2003/2003-45|Cyclin-dependent kinase 1|CHEMBL308|1.00
2003/2003-45|Tyrosine-protein kinase receptor FLT3|CHEMBL1974|1.00
2003/2003-656|Cytochrome P450 17A1|CHEMBL3522|1.00
2003/2003-656|Solute carrier family 22 member 1|CHEMBL5685|1.00
2003/2003-656|G-protein coupled bile acid receptor 1|CHEMBL5409|1.00
2003/2003-656|Cytochrome P450 2C9|CHEMBL3397|1.00
2003/2003-656|Testis-specific androgen-binding protein|CHEMBL3305|1.00
2003/2003-656|Sigma opioid receptor|CHEMBL287|1.00
2003/2003-656|Corticosteroid binding globulin|CHEMBL2421|1.00
2003/2003-656|Progesterone receptor|CHEMBL208|1.00
2003/2003-656|Solute carrier family 22 member 3|CHEMBL2073673|1.00
2003/2003-656|Glucocorticoid receptor|CHEMBL2034|1.00
2003/2003-656|Mineralocorticoid receptor|CHEMBL1994|1.00
2003/2003-656|Androgen Receptor|CHEMBL1871|1.00
2003/2003-675|Carbonic anhydrase II|CHEMBL205|1.00
2003/2003-687|DNA topoisomerase II alpha|CHEMBL1806|1.00
2003/2003-698|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2003/2003-71|PAC1-PAC2 complex|CHEMBL3885624|1.00
2003/2003-71|Catenin beta-1/Transcription factor 7|CHEMBL3885542|1.00
2003/2003-71|Proteasome assembly chaperone 3|CHEMBL1075137|1.00
2003/2003-72|PAC1-PAC2 complex|CHEMBL3885624|1.00
2003/2003-72|Catenin beta-1/Transcription factor 7|CHEMBL3885542|1.00
2003/2003-72|Proteasome assembly chaperone 3|CHEMBL1075137|1.00
2004/2004-0|Proteasome Macropain subunit MB1|CHEMBL4662|1.00
2004/2004-0|Proteasome component C5|CHEMBL4208|1.00
2004/2004-0|Proteasome Macropain subunit|CHEMBL3492|1.00
2004/2004-119|Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform|CHEMBL4763|1.00
2004/2004-119|Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform|CHEMBL4703|1.00
2004/2004-119|Serine/threonine protein phosphatase PP1-gamma catalytic subunit|CHEMBL4438|1.00
2004/2004-119|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2004/2004-119|Protein phosphatase 2C beta|CHEMBL2845|1.00
2004/2004-174|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2004/2004-176|Beta-secretase 1|CHEMBL4822|1.00
2004/2004-196|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2004/2004-201|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2004/2004-346|Cyclooxygenase-2|CHEMBL230|1.00
2004/2004-357|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
2004/2004-357|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2004/2004-357|Cholesteryl ester transfer protein|CHEMBL3572|1.00
2004/2004-357|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
2004/2004-357|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
